data	target	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28472	0.8800000000000001	0.4444444444444444
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28482	0.8108108108108107	0.21574074074074073
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28566	0.8538812785388128	0.508488612836439
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P29274	0.774025974025974	0.5004297328687572
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P29275	0.9827586206896552	0.8333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P29466	0.875	0.6428571428571428
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30542	0.8299319727891157	0.5088716909688776
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30729	0.9490358126721763	0.7734434682964095
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30939	0.8794326241134751	0.44317390698969644
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30940	0.862533692722372	0.5606640825666651
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31388	0.9555555555555555	0.7579532967032967
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31389	0.9556277056277056	0.7786304604486423
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31644	0.8500000000000001	0.3333333333333333
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31645	0.9423558897243108	0.7784910203423872
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P33260	0.8888888888888888	0.45833333333333326
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P33261	0.6707742385491745	0.2366557026706186
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34897	0.6515151515151515	0.4512820512820513
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34903	0.803030303030303	0.6222222222222222
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34969	0.9004329004329004	0.515771500041458
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34972	0.9455782312925171	0.8021978021978021
