data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Mordred descriptors	Q06124	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	75	8	3	0	77	0	1	2	19	0.98125	0.475	0.7272727272727273	0.0	1.0	0.0	0.8421052631578948	0.4	0.0	0.98125	0.3	0.8366600265340756	-0.0690065559342354	0.7272727272727273	0.0945378151260504	2.507003180185954
Mordred descriptors	Q06124	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	29	0	0	8	80	0	0	2	20	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.1752136752136752	0.0	0.5	0.05	0.0	0.0	0.0909090909090909	0.0726190476190476	7.375367716948191
Mordred descriptors	Q06710	54 (1.32%)	4046 (412092.59%)	0.0133	GradientBoosting	200	185	46	7	0	422	6	2	2	109	0.9918414918414918	0.865990990990991	0.8679245283018868	0.75	1.0	0.75	0.9292929292929292	0.6824857685009487	0.75	0.9918414918414918	0.9222972972972971	0.9239927432678496	0.7319819819819819	0.8679245283018868	0.6404453054806829	23.14973452488581
Mordred descriptors	Q06710	54 (1.32%)	4046 (412092.59%)	0.0133	XGBoost	200	91	44	7	2	422	6	1	2	110	0.9701023614067092	0.8704954954954955	0.8627450980392157	0.8571428571428571	0.9565217391304348	0.75	0.9072164948453608	0.6696316941779737	0.7999999999999999	0.9701023614067092	0.8997747747747746	0.8981770915709202	0.7886083648764786	0.8294449679185175	0.7484372667562322	22.79029001792272
Mordred descriptors	Q07820	51 (1.24%)	4049 (412839.22%)	0.0126	GradientBoosting	200	96	43	26	0	379	2	13	6	92	0.9679012345679012	0.5630952380952381	0.6231884057971014	0.1333333333333333	1.0	0.25	0.7678571428571428	0.4234697855750487	0.1739130434782609	0.9679012345679012	0.680952380952381	0.7636630466912301	0.0953910336642335	0.6231884057971014	0.162035743329976	17.59390038251877
Mordred descriptors	Q07820	51 (1.24%)	4049 (412839.22%)	0.0126	XGBoost	200	131	35	23	8	382	3	12	5	93	0.8785816824576514	0.6303571428571428	0.603448275862069	0.2	0.813953488372093	0.375	0.693069306930693	0.3393794440853264	0.2608695652173913	0.8785816824576516	0.6714285714285715	0.6643623792033014	0.1970814752119541	0.509035972047199	0.2317708427090407	15.458063173294068
Mordred descriptors	Q08499	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	77	9	0	0	96	1	0	2	24	1.0	0.6666666666666666	1.0	1.0	1.0	0.3333333333333333	1.0	0.5555555555555556	0.5	1.0	0.9722222222222222	1.0	0.554700196225229	1.0	0.8055555555555556	3.087158731619517
Mordred descriptors	Q08499	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	6	8	0	1	96	0	0	3	24	0.9444444444444444	0.5	1.0	0.0	0.8888888888888888	0.0	0.9411764705882352	0.3333333333333333	0.0	0.9444444444444444	0.888888888888889	0.9379366108168786	0.0	0.8984126984126983	0.4428571428571428	6.571249687671662
Mordred descriptors	Q09428	18 (0.44%)	4082 (430877.78%)	0.0044	GradientBoosting	200	97	15	4	0	139	1	2	2	35	0.986013986013986	0.6396396396396397	0.7894736842105263	0.3333333333333333	1.0	0.3333333333333333	0.8823529411764706	0.5688888888888889	0.3333333333333333	0.986013986013986	0.6936936936936937	0.8760082786324622	0.2792792792792792	0.7894736842105263	0.5285714285714286	1.554723310470581
Mordred descriptors	Q09428	18 (0.44%)	4082 (430877.78%)	0.0044	XGBoost	200	196	13	0	2	143	1	1	2	36	0.9333333333333332	0.6531531531531531	1.0	0.5	0.8666666666666667	0.3333333333333333	0.9285714285714286	0.5833333333333333	0.4	0.9333333333333332	0.7387387387387387	0.9245067028843874	0.3701780228629408	0.8793248945147679	0.4416666666666666	3.1848065217336017
Mordred descriptors	Q12809	77 (1.88%)	4023 (407524.68%)	0.0191	GradientBoosting	200	199	60	23	0	594	8	4	9	149	0.9813614262560778	0.7222222222222222	0.7228915662650602	0.6666666666666666	1.0	0.4705882352941176	0.8391608391608391	0.5864170312446174	0.5517241379310345	0.9813614262560778	0.8961937716262975	0.8342327197680984	0.5205572404645754	0.7228915662650602	0.6414757079416723	41.27307626803716
Mordred descriptors	Q12809	77 (1.88%)	4023 (407524.68%)	0.0191	XGBoost	200	198	47	46	13	571	8	9	9	144	0.8543895191788222	0.7058823529411764	0.5053763440860215	0.4705882352941176	0.7833333333333333	0.4705882352941176	0.6143790849673203	0.4883240431066518	0.4705882352941176	0.8543895191788222	0.8627450980392156	0.5851688163172345	0.4117647058823529	0.4150804995685159	0.5164444396140213	16.767980579535166
Mordred descriptors	Q12851	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	87	9	3	0	102	1	0	3	25	0.9857142857142858	0.625	0.75	1.0	1.0	0.25	0.8571428571428571	0.5666666666666667	0.4	0.9857142857142857	0.66	0.8535639569308375	0.472455591261534	0.75	0.4108669108669108	1.3783458630243937
Mordred descriptors	Q12851	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	92	0	0	9	105	0	0	4	25	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.5	0.63	0.0	0.0	0.0789473684210526	0.428062678062678	7.878721598784129
Mordred descriptors	Q13188	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	57	7	5	1	83	2	3	1	19	0.9090909090909092	0.7651515151515151	0.5833333333333334	0.4	0.875	0.6666666666666666	0.7000000000000001	0.2333333333333333	0.5	0.9090909090909092	0.9090909090909092	0.6837634587578277	0.4308202184276645	0.5208333333333334	0.6333333333333333	1.927496063709259
Mordred descriptors	Q13188	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	6	7	0	1	88	0	0	3	22	0.9375	0.5	1.0	0.0	0.875	0.0	0.9333333333333332	0.2	0.0	0.9375	0.8939393939393939	0.9301443647766956	0.0	0.8854166666666666	0.6666666666666666	3.59036736090978
Mordred descriptors	Q13224	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	184	8	1	0	79	1	0	1	20	0.99375	0.75	0.8888888888888888	1.0	1.0	0.5	0.9411764705882352	0.5	0.6666666666666666	0.99375	0.9	0.936897954837013	0.6900655593423543	0.8888888888888888	0.6666666666666666	1.0971182624499003
Mordred descriptors	Q13224	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	29	1	0	7	80	0	0	2	20	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.3688888888888889	0.0	0.5625	0.975	0.3390317518104052	0.0	0.2045454545454545	0.8333333333333333	2.6841289083162945
Mordred descriptors	Q13255	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	27	8	0	0	80	0	1	2	19	1.0	0.475	1.0	0.0	1.0	0.0	1.0	0.5333333333333333	0.0	1.0	0.225	1.0	-0.0690065559342354	1.0	0.0859649122807017	0.5215973854064941
Mordred descriptors	Q13255	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	144	1	0	7	80	0	0	2	20	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.1552380952380952	0.0	0.5625	0.3	0.3390317518104052	0.0	0.2045454545454545	0.0954545454545454	2.052621169885
Mordred descriptors	Q13627	39 (0.95%)	4061 (416512.82%)	0.0096	GradientBoosting	200	103	29	3	0	311	5	4	5	72	0.9952229299363058	0.7236842105263157	0.90625	0.5555555555555556	1.0	0.5	0.9508196721311476	0.5638095238095238	0.5263157894736842	0.9952229299363058	0.7342105263157894	0.9474130886311176	0.4684955861317759	0.90625	0.3946245967659156	3.823607623577118
Mordred descriptors	Q13627	39 (0.95%)	4061 (416512.82%)	0.0096	XGBoost	200	67	29	7	0	307	3	5	7	71	0.9888535031847134	0.6171052631578947	0.8055555555555556	0.375	1.0	0.3	0.8923076923076924	0.4725676937441643	0.3333333333333332	0.9888535031847134	0.7855263157894737	0.8874667941317481	0.2584764089450072	0.8055555555555556	0.4423430811678548	8.896519939104715
Mordred descriptors	Q13639	35 (0.85%)	4065 (418114.29%)	0.0086	GradientBoosting	200	192	24	6	0	278	5	1	6	65	0.98943661971831	0.7196969696969697	0.8	0.8333333333333334	1.0	0.4545454545454545	0.888888888888889	0.5393650793650793	0.5882352941176471	0.98943661971831	0.9159779614325068	0.8849285799143882	0.5736111347936957	0.8	0.7071003371206211	8.78460750579834
Mordred descriptors	Q13639	35 (0.85%)	4065 (418114.29%)	0.0086	XGBoost	200	174	24	26	0	258	8	10	3	56	0.954225352112676	0.7878787878787878	0.48	0.4444444444444444	1.0	0.7272727272727273	0.6486486486486487	0.4536263736263736	0.5517241379310345	0.954225352112676	0.9256198347107438	0.6603456201324948	0.4760424844017916	0.48	0.6930893349075168	8.548966610431671
Mordred descriptors	Q13698	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	191	9	10	0	86	3	5	0	19	0.9479166666666669	0.8958333333333333	0.4736842105263157	0.375	1.0	1.0	0.6428571428571429	0.3777777777777777	0.5454545454545454	0.9479166666666669	1.0	0.6514154628677139	0.5448623679425841	0.4736842105263157	1.0	3.794630610942841
Mordred descriptors	Q13698	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	181	0	0	9	96	0	1	3	23	0.5	0.4791666666666667	0.0	0.0	0.0	0.0	0.0	0.2666666666666666	0.0	0.5	0.9305555555555556	0.0	-0.0693375245281536	0.0857142857142857	0.5555555555555556	1.640905793507894
Mordred descriptors	Q13936	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	14	8	0	0	80	1	2	1	18	1.0	0.7	1.0	0.3333333333333333	1.0	0.5	1.0	0.5142857142857143	0.4	1.0	0.775	1.0	0.3350831266333564	1.0	0.2777777777777778	1.043844226996104
Mordred descriptors	Q13936	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	151	0	0	8	80	0	0	2	20	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.3710526315789473	0.0	0.5	0.625	0.0	0.0	0.0909090909090909	0.1964285714285714	2.263841644922892
Mordred descriptors	Q14289	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	192	11	23	2	96	0	7	2	24	0.8264382676147382	0.3870967741935484	0.3235294117647059	0.0	0.8461538461538461	0.0	0.4680851063829787	0.3333333333333333	0.0	0.8264382676147383	0.3387096774193548	0.4448603718861922	-0.13179426029667	0.2889071712601124	0.0663157894736842	0.9905880490938822
