data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Physicochemical properties	P51589	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	151	9	3	4	116	0	2	2	29	0.8335488041370394	0.4677419354838709	0.75	0.0	0.6923076923076923	0.0	0.7199999999999999	0.3333333333333333	0.0	0.8335488041370394	0.7419354838709677	0.6914380805705526	-0.064516129032258	0.5495337995337994	0.1534090909090909	11.85659058491389
Physicochemical properties	P51812	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	115	8	1	0	79	0	1	2	19	0.99375	0.475	0.8888888888888888	0.0	1.0	0.0	0.9411764705882352	0.5904761904761905	0.0	0.99375	0.45	0.936897954837013	-0.0690065559342354	0.8888888888888888	0.1726190476190476	1.777129554748535
Physicochemical properties	P51812	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	0	5	0	3	80	0	0	2	20	0.8125	0.5	1.0	0.0	0.625	0.0	0.7692307692307693	0.2666666666666667	0.0	0.8125	0.375	0.7761505257063329	0.0	0.6590909090909091	0.1042780748663101	7.496921455860138
Physicochemical properties	P52333	13 (0.32%)	4087 (440138.46%)	0.0032	GradientBoosting	200	102	6	19	3	86	2	9	2	16	0.7428571428571429	0.5700000000000001	0.24	0.1818181818181818	0.6666666666666666	0.5	0.3529411764705882	0.25	0.2666666666666666	0.7428571428571428	0.68	0.3165423145775901	0.0994936676326182	0.1863157894736841	0.5084033613445378	2.450225249926249
Physicochemical properties	P52333	13 (0.32%)	4087 (440138.46%)	0.0032	XGBoost	200	184	0	0	9	105	0	0	4	25	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2799999999999999	0.0	0.5	0.5	0.0	0.0	0.0789473684210526	0.1679616679616679	4.235255384445191
Physicochemical properties	P53779	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	99	6	13	2	67	1	3	1	17	0.79375	0.675	0.3157894736842105	0.25	0.75	0.5	0.4444444444444443	0.3555555555555555	0.3333333333333333	0.79375	0.875	0.4104842631359055	0.2608745973749754	0.2595693779904306	0.6428571428571428	2.728765837351481
Physicochemical properties	P53779	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	101	6	10	2	70	2	1	0	19	0.8125	0.975	0.375	0.6666666666666666	0.75	1.0	0.5	0.1643274853801169	0.8	0.8125	0.975	0.4658474953124562	0.7958224257542214	0.3039772727272727	0.8333333333333333	5.01998420159022
Physicochemical properties	P55017	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	33	8	0	0	80	2	0	0	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.4848835388819377
Physicochemical properties	P55017	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	25	8	1	0	79	1	0	1	20	0.99375	0.75	0.8888888888888888	1.0	1.0	0.5	0.9411764705882352	0.7142857142857143	0.6666666666666666	0.99375	0.975	0.936897954837013	0.6900655593423543	0.8888888888888888	0.8333333333333333	3.9133941809336346
Physicochemical properties	P55789	53 (1.29%)	4047 (412335.85%)	0.0131	GradientBoosting	200	194	36	108	9	313	4	22	4	87	0.7717339667458433	0.6490825688073394	0.25	0.1538461538461538	0.8	0.5	0.3809523809523809	0.2760520389214794	0.2352941176470588	0.7717339667458434	0.7006880733944953	0.3473857882138641	0.1810121535639991	0.21931330472103	0.1408473608977641	1.145320749282837
Physicochemical properties	P55789	53 (1.29%)	4047 (412335.85%)	0.0131	XGBoost	200	179	29	55	16	366	2	10	6	99	0.7569015571390869	0.5791284403669725	0.3452380952380952	0.1666666666666666	0.6444444444444445	0.25	0.4496124031007752	0.2757284515636918	0.2	0.7569015571390868	0.7041284403669724	0.3947959716254206	0.1316544585699125	0.2568215364352703	0.1998756451881451	7.439768656094869
Physicochemical properties	P68400	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	123	12	1	0	110	1	4	1	25	0.9954954954954957	0.6810344827586207	0.9230769230769232	0.2	1.0	0.5	0.96	0.6766666666666666	0.2857142857142857	0.9954954954954954	0.8275862068965518	0.9564313434642944	0.2418430558450613	0.9230769230769232	0.3409090909090909	1.7453583081563313
Physicochemical properties	P68400	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	101	10	7	2	104	1	5	1	24	0.8851351351351351	0.6637931034482758	0.5882352941176471	0.1666666666666666	0.8333333333333334	0.5	0.6896551724137931	0.6900000000000001	0.25	0.8851351351351352	0.8620689655172413	0.662243729797918	0.203701381619181	0.5064562410329986	0.6	3.652621531486511
Physicochemical properties	P79400	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	142	12	10	0	101	1	7	1	22	0.954954954954955	0.6293103448275862	0.5454545454545454	0.125	1.0	0.5	0.7058823529411764	0.2888888888888888	0.2	0.954954954954955	0.6896551724137931	0.704495916464032	0.1452005798741936	0.5454545454545454	0.1838235294117647	1.1790977160135905
Physicochemical properties	P79400	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	111	10	5	2	106	1	4	1	25	0.8941441441441442	0.6810344827586207	0.6666666666666666	0.2	0.8333333333333334	0.5	0.7407407407407408	0.2571428571428571	0.2857142857142857	0.8941441441441442	0.7413793103448275	0.7147919937023132	0.2418430558450613	0.5718157181571816	0.3125	8.376576046148935
Physicochemical properties	P80192	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	113	5	9	3	71	0	2	2	18	0.75625	0.45	0.3571428571428571	0.0	0.625	0.0	0.4545454545454545	0.25	0.0	0.75625	0.8625	0.4028134645945779	-0.1	0.2573051948051948	0.3333333333333333	1.4367572903633117
Physicochemical properties	P80192	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	66	1	6	7	74	0	3	2	17	0.525	0.425	0.1428571428571428	0.0	0.125	0.0	0.1333333333333333	0.2450786056049213	0.0	0.525	0.6125	0.053121271525973	-0.1256561724875086	0.0974025974025974	0.1714285714285714	3.4378492554028828
Physicochemical properties	P97266	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	183	12	2	0	109	1	3	1	26	0.990990990990991	0.6982758620689655	0.8571428571428571	0.25	1.0	0.5	0.923076923076923	0.6314285714285715	0.3333333333333333	0.990990990990991	0.8620689655172414	0.9174414649986352	0.2906042500385796	0.8571428571428571	0.2916666666666666	1.8579930186271667
Physicochemical properties	P97266	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	83	10	2	2	109	0	2	2	27	0.9076576576576576	0.4655172413793103	0.8333333333333334	0.0	0.8333333333333334	0.0	0.8333333333333334	0.4714285714285714	0.0	0.9076576576576576	0.7241379310344828	0.8153153153153153	-0.0689655172413793	0.7107046070460705	0.1602564102564102	15.101415061950684
