data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Cell Painting	P55017	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	82	8	0	0	80	0	1	2	19	1.0	0.475	1.0	0.0	1.0	0.0	1.0	0.24	0.0	1.0	0.525	1.0	-0.0690065559342354	1.0	0.219298245614035	0.6316075205802918
Cell Painting	P55017	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	195	1	0	7	80	0	0	2	20	0.5625	0.5	1.0	0.0	0.125	0.0	0.2222222222222222	0.1777777777777777	0.0	0.5625	0.5	0.3390317518104052	0.0	0.2045454545454545	0.142156862745098	4.020252255598704
Cell Painting	P55789	53 (1.29%)	4047 (412335.85%)	0.0131	GradientBoosting	200	116	34	54	11	367	1	28	7	81	0.8136447611506994	0.4340596330275229	0.3863636363636363	0.0344827586206896	0.7555555555555555	0.125	0.5112781954887219	0.2635413834301487	0.054054054054054	0.8136447611506994	0.3967889908256881	0.4733998351193079	-0.0770902160594733	0.3155243421337841	0.0617175716568435	1.378577721118927
Cell Painting	P55789	53 (1.29%)	4047 (412335.85%)	0.0131	XGBoost	200	112	36	15	9	406	1	9	7	100	0.8821852731591449	0.5212155963302753	0.7058823529411765	0.1	0.8	0.125	0.7500000000000001	0.0881578947368421	0.1111111111111111	0.882185273159145	0.3211009174311926	0.7231728487097948	0.0383046583199705	0.5840191870739713	0.0618605050524983	2.964175856113434
Cell Painting	P68400	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	139	12	0	0	111	0	0	2	29	1.0	0.5	1.0	0.0	1.0	0.0	1.0	0.3333333333333333	0.0	1.0	0.5517241379310345	1.0	0.0	1.0	0.2051282051282051	1.188922409216563
Cell Painting	P68400	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	186	0	0	12	111	0	0	2	29	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.2296993464052287	0.0	0.5	0.2931034482758621	0.0	0.0	0.0975609756097561	0.0664488017429194	4.271676663557688
Cell Painting	P79400	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	179	12	0	0	111	0	1	2	28	1.0	0.4827586206896552	1.0	0.0	1.0	0.0	1.0	0.303030303030303	0.0	1.0	0.2586206896551724	1.0	-0.0479463301485384	1.0	0.0643939393939393	1.6375817855199175
Cell Painting	P79400	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	165	1	5	11	106	0	1	2	28	0.5191441441441441	0.4827586206896552	0.1666666666666666	0.0	0.0833333333333333	0.0	0.1111111111111111	0.2956613756613756	0.0	0.5191441441441441	0.6551724137931034	0.0527411393660374	-0.0479463301485384	0.1033197831978319	0.1269230769230769	2.716651129722595
Cell Painting	P80192	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	55	6	7	2	73	1	0	1	20	0.83125	0.75	0.4615384615384615	1.0	0.75	0.5	0.5714285714285714	0.3333333333333333	0.6666666666666666	0.83125	0.525	0.5367518645543433	0.6900655593423543	0.3688811188811188	0.5476190476190477	1.1955020467440287
Cell Painting	P80192	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	110	1	3	7	77	0	0	2	20	0.54375	0.5	0.25	0.0	0.125	0.0	0.1666666666666666	0.1552313755403	0.0	0.54375	0.675	0.1207614728849119	0.0	0.1107954545454545	0.5666666666666667	4.024348056316375
Cell Painting	P97266	14 (0.34%)	4086 (437785.71%)	0.0034	GradientBoosting	200	15	12	25	0	86	1	15	1	14	0.8873873873873874	0.4913793103448276	0.3243243243243243	0.0625	1.0	0.5	0.489795918367347	0.1	0.1111111111111111	0.8873873873873873	0.5172413793103448	0.5012766754322002	-0.0084757937952601	0.3243243243243243	0.0954545454545454	1.1373234311739604
Cell Painting	P97266	14 (0.34%)	4086 (437785.71%)	0.0034	XGBoost	200	168	1	1	11	110	0	0	2	29	0.5371621621621622	0.5	0.5	0.0	0.0833333333333333	0.0	0.1428571428571428	0.2406234288587229	0.0	0.5371621621621621	0.6120689655172413	0.1743714581157289	0.0	0.1310975609756097	0.54	2.3774315476417542
Cell Painting	Q00535	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	152	13	3	0	116	2	1	0	30	0.9873949579831932	0.9838709677419356	0.8125	0.6666666666666666	1.0	1.0	0.896551724137931	0.3971428571428571	0.8	0.9873949579831932	0.967741935483871	0.8899532609764903	0.8032193289024988	0.8125	0.5833333333333333	12.23166739543279
Cell Painting	Q00535	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	190	2	0	11	119	0	0	2	31	0.5769230769230769	0.5	1.0	0.0	0.1538461538461538	0.0	0.2666666666666667	0.2291666666666666	0.0	0.5769230769230769	0.8709677419354838	0.3752711051584759	0.0	0.2371794871794871	0.2916666666666666	2.5868613918622336
Cell Painting	Q00653	38 (0.93%)	4062 (416889.47%)	0.0094	GradientBoosting	200	58	28	1	0	305	3	5	7	69	0.9983660130718954	0.6162162162162163	0.9655172413793104	0.375	1.0	0.3	0.9824561403508772	0.3591575091575091	0.3333333333333332	0.9983660130718954	0.7351351351351351	0.9810004873988408	0.2564252557891741	0.9655172413793104	0.3845107524054892	4.863410751024882
