data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
RDKit 1D descriptors	10013687	98(14.69%)	569 (85.31%)	XGBoost	50	11	47	56	34	396	9	24	8	93	0.7281765541352563	0.6621417797888386	0.4563106796116505	0.2727272727272727	0.5802469135802469	0.5294117647058824	0.5108695652173912	0.212324558151032	0.36	0.7281765541352563	0.6405228758169935	0.4149157298000246	0.2505097688568448	0.3285627321462825	0.3237898445828652	3.3188328663508098
RDKit 1D descriptors	10007625	105(15.74%)	562 (84.26%)	XGBoost	50	42	49	67	35	382	4	23	17	90	0.7170564216778026	0.4934681837336704	0.4224137931034483	0.1481481481481481	0.5833333333333334	0.1904761904761904	0.49	0.3912948056325205	0.1666666666666666	0.7170564216778026	0.5676359039190897	0.3833261314060336	-0.0118396551716569	0.3120740872528089	0.1831113889272856	2.9733666658401487
RDKit 1D descriptors	10035600	140(20.99%)	527 (79.01%)	XGBoost	50	11	75	97	30	331	19	21	16	78	0.7438251001335113	0.6653679653679654	0.436046511627907	0.475	0.7142857142857143	0.5428571428571428	0.5415162454873647	0.293213700177191	0.5066666666666667	0.7438251001335114	0.7382395382395383	0.414865305045474	0.3174965976628628	0.3677469722563313	0.4922555863485571	3.727980077266693
RDKit 1D descriptors	10018292	91(13.64%)	576 (86.36%)	XGBoost	50	11	54	65	21	393	4	16	12	102	0.7890393013100436	0.5572033898305084	0.453781512605042	0.2	0.72	0.25	0.5567010309278351	0.2487264330452186	0.2222222222222222	0.7890393013100436	0.6626059322033898	0.4826992386905301	0.1041082946768286	0.3661223138411086	0.2212554807305688	4.457325641314188
RDKit 1D descriptors	10042727	49(7.35%)	618 (92.65%)	XGBoost	50	8	16	4	23	490	0	1	10	123	0.7010796221322537	0.4959677419354839	0.8	0.0	0.4102564102564102	0.0	0.5423728813559321	0.0615384615384615	0.0	0.7010796221322536	0.5693548387096774	0.5510869840527352	-0.0246242684392417	0.3713570981863665	0.1049808220497596	2.775622896353404
RDKit 1D descriptors	10081647	129(19.34%)	538 (80.66%)	XGBoost	50	33	76	65	25	367	9	22	19	84	0.8010061422808947	0.5569407008086253	0.5390070921985816	0.2903225806451613	0.7524752475247525	0.3214285714285714	0.628099173553719	0.2298915989159891	0.3050847457627119	0.8010061422808946	0.5111185983827493	0.5348787249203526	0.1097956900929683	0.4524938103167228	0.2797699723241292	2.2716628114382424
RDKit 1D descriptors	10051992	64(9.6%)	603 (90.4%)	XGBoost	50	24	34	39	17	443	1	22	12	99	0.7928769017980636	0.4475524475524476	0.4657534246575342	0.0434782608695652	0.6666666666666666	0.0769230769230769	0.5483870967741935	0.1254004576659038	0.0555555555555555	0.7928769017980636	0.3407501589319771	0.5011680525080328	-0.0823368362608229	0.3423972174389815	0.0758192713912611	4.355521440505981
RDKit 1D descriptors	10035737	66(9.9%)	601 (90.1%)	XGBoost	50	39	45	2	2	484	0	1	19	114	0.9766657910865948	0.4956521739130435	0.9574468085106383	0.0	0.9574468085106383	0.0	0.9574468085106383	0.0857142857142857	0.0	0.9766657910865948	0.5258581235697941	0.9533315821731896	-0.035245368842512	0.9204567363429668	0.2450534249292629	4.281169144312541
RDKit 1D descriptors	10031248	138(20.69%)	529 (79.31%)	XGBoost	50	46	80	94	29	330	13	32	16	73	0.7561234204604466	0.5717569786535304	0.4597701149425287	0.2888888888888888	0.7339449541284404	0.4482758620689655	0.5653710247349825	0.3285251491901108	0.3513513513513513	0.7561234204604466	0.5783251231527093	0.4406092573437206	0.1251372273893664	0.3918549615496398	0.3220063774617626	2.833953567345937
RDKit 1D descriptors	10061129	58(8.7%)	609 (91.3%)	XGBoost	50	6	37	100	11	385	4	27	6	97	0.782323883161512	0.5911290322580645	0.2700729927007299	0.1290322580645161	0.7708333333333334	0.4	0.3999999999999999	0.2977799558931634	0.1951219512195122	0.7823238831615122	0.7201612903225807	0.3698803210458783	0.1135790252774554	0.2288191638934918	0.1410424092018519	3.704158270359039
RDKit 1D descriptors	10051608	46(6.9%)	621 (93.1%)	XGBoost	50	8	22	18	15	478	1	7	8	118	0.7791521360069747	0.5275555555555556	0.55	0.125	0.5945945945945946	0.1111111111111111	0.5714285714285715	0.0266666666666666	0.1176470588235294	0.7791521360069749	0.6213333333333333	0.5385911289760631	0.0582217375479644	0.3551696161452259	0.1301316574771952	2.64709464708964
RDKit 1D descriptors	10007759	106(15.89%)	561 (84.11%)	XGBoost	50	24	54	39	27	413	4	12	21	97	0.7901917404129793	0.5249541284403669	0.5806451612903226	0.25	0.6666666666666666	0.16	0.6206896551724138	0.2564874551971327	0.1951219512195121	0.7901917404129793	0.528440366972477	0.5489830771212916	0.0599590385240693	0.4377534346063063	0.3002115502120759	4.23961433172226
RDKit 1D descriptors	10037368	146(21.89%)	521 (78.11%)	XGBoost	50	6	80	88	30	335	14	24	22	74	0.7596174511068128	0.5719954648526077	0.4761904761904761	0.3684210526315789	0.7272727272727273	0.3888888888888889	0.5755395683453238	0.2857856466654581	0.3783783783783783	0.7596174511068129	0.6105442176870749	0.4523028565706715	0.1416028548462799	0.402605524556744	0.4018138475043689	4.271191044648488
RDKit 1D descriptors	10005839	95(14.24%)	572 (85.76%)	XGBoost	50	22	49	101	26	357	9	23	11	91	0.7164046579330422	0.6241228070175439	0.3266666666666666	0.28125	0.6533333333333333	0.45	0.4355555555555555	0.3207954162453657	0.3461538461538461	0.7164046579330422	0.6162280701754387	0.3346685901850002	0.2074788980114726	0.2622027100271002	0.2560898321315186	3.576023070017497
RDKit 1D descriptors	10048706	94(14.09%)	573 (85.91%)	XGBoost	50	47	48	51	31	403	3	18	12	101	0.7476300674733731	0.5243697478991597	0.4848484848484848	0.1428571428571428	0.6075949367088608	0.2	0.5393258426966292	0.2053708439897698	0.1666666666666666	0.7476300674733731	0.5675070028011204	0.4524935381969763	0.0422718517934464	0.3527528353091798	0.1475956964347924	3.920776569843292
RDKit 1D descriptors	10010254	69(10.34%)	598 (89.66%)	XGBoost	50	8	35	63	16	419	4	16	14	100	0.7777845578065251	0.5421455938697317	0.3571428571428571	0.2	0.6862745098039216	0.2222222222222222	0.4697986577181208	0.1401274978891078	0.2105263157894737	0.7777845578065251	0.6757662835249042	0.4218800957604667	0.0806640451277993	0.2751168009417651	0.2039383078051734	3.906049835681915
RDKit 1D descriptors	10025409	59(8.85%)	608 (91.15%)	XGBoost	50	21	25	7	17	484	1	3	16	114	0.7904907380467462	0.5165912518853695	0.78125	0.25	0.5952380952380952	0.0588235294117647	0.6756756756756757	0.1377777777777777	0.0952380952380952	0.7904907380467463	0.5691302161890397	0.658921722130533	0.0648970375178544	0.4969246962387206	0.2104381124233254	3.908803661664327
RDKit 1D descriptors	10052238	82(12.29%)	585 (87.71%)	XGBoost	50	8	40	77	21	395	6	21	15	92	0.7463010558488469	0.549936788874842	0.3418803418803419	0.2222222222222222	0.6557377049180327	0.2857142857142857	0.449438202247191	0.1620726733407489	0.25	0.7463010558488468	0.56047197640118	0.3788720692199215	0.0905160734091189	0.2635834555066862	0.2204614874594	4.057622265815735
RDKit 1D descriptors	10052076	68(10.19%)	599 (89.81%)	XGBoost	50	31	33	62	22	416	2	19	11	102	0.7351464435146444	0.498410680228862	0.3473684210526316	0.0952380952380952	0.6	0.1538461538461538	0.44	0.2221739130434782	0.1176470588235294	0.7351464435146444	0.3909726636999364	0.3738219903148093	-0.0025879553186448	0.2496968500049373	0.0891853233574315	2.50265036424001
