data	safety_endpoint	positive_counts	negative_counts	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
ECFP4 fingerprints	10047302	125(18.74%)	542 (81.26%)	XGBoost	50	31	48	35	48	402	9	9	20	96	0.709954233409611	0.6123152709359606	0.5783132530120482	0.5	0.5	0.3103448275862069	0.536312849162011	0.3546026831785346	0.3829787234042554	0.7099542334096111	0.632183908045977	0.4450262856874962	0.271267150913891	0.3792129116842604	0.396169191185005	4.440382524331411
ECFP4 fingerprints	10038743	75(11.24%)	592 (88.76%)	XGBoost	50	19	27	17	30	459	5	4	13	112	0.7189849624060151	0.6216475095785441	0.6136363636363636	0.5555555555555556	0.4736842105263157	0.2777777777777778	0.5346534653465346	0.3291219936250362	0.3703703703703704	0.7189849624060151	0.728448275862069	0.491818006485255	0.3314531905705215	0.3469550346957279	0.4170408840765643	3.2321553428967795
ECFP4 fingerprints	10015543	93(13.94%)	574 (86.06%)	XGBoost	50	41	35	36	36	426	1	11	21	101	0.7075178342783977	0.4736201298701298	0.4929577464788732	0.0833333333333333	0.4929577464788732	0.0454545454545454	0.4929577464788732	0.173391304347826	0.0588235294117647	0.7075178342783977	0.5941558441558441	0.4150356685567953	-0.0684466917624826	0.3105495536972064	0.1963293553768718	5.625957091649373
ECFP4 fingerprints	10014363	123(18.44%)	544 (81.56%)	XGBoost	50	43	57	44	44	388	6	12	16	100	0.7312522918958562	0.5827922077922079	0.5643564356435643	0.3333333333333333	0.5643564356435643	0.2727272727272727	0.5643564356435643	0.3834233790440686	0.3	0.7312522918958563	0.7345779220779222	0.4625045837917125	0.1798765561684561	0.4010497811990252	0.3113019536559419	4.633068509896597
ECFP4 fingerprints	10051482	85(12.74%)	582 (87.26%)	XGBoost	50	32	37	35	34	427	5	7	9	113	0.7226845924029022	0.6494047619047619	0.5138888888888888	0.4166666666666667	0.5211267605633803	0.3571428571428571	0.5174825174825174	0.1554533844189016	0.3846153846153846	0.7226845924029022	0.6714285714285714	0.4427449497494935	0.3200947402364434	0.3315911206240989	0.2302956920450775	3.7895827651023866
ECFP4 fingerprints	10001497	106(15.89%)	561 (84.11%)	XGBoost	50	31	71	18	10	434	7	9	18	100	0.9183601005134928	0.5987155963302753	0.797752808988764	0.4375	0.8765432098765432	0.28	0.8352941176470587	0.4346687824967162	0.3414634146341463	0.9183601005134928	0.6928440366972477	0.8053886273931619	0.2371909023966861	0.7180265339578392	0.3465369232987083	8.530174005031586
ECFP4 fingerprints	10014561	120(17.99%)	547 (82.01%)	XGBoost	50	21	53	78	45	357	5	18	17	94	0.6807529908515131	0.5332792207792207	0.4045801526717557	0.217391304347826	0.5408163265306123	0.2272727272727272	0.4628820960698689	0.2033651504743736	0.2222222222222222	0.680752990851513	0.6270292207792207	0.325255373153301	0.0653880052617677	0.3032313193097298	0.2859874445980081	3.8264949639638255
ECFP4 fingerprints	10044314	86(12.89%)	581 (87.11%)	XGBoost	50	6	32	39	33	429	3	20	18	93	0.7044871794871794	0.4829329962073324	0.4507042253521127	0.1304347826086956	0.4923076923076923	0.1428571428571428	0.4705882352941176	0.1555555555555555	0.1363636363636363	0.7044871794871795	0.5785924989464812	0.393845169372383	-0.0329087011949853	0.2837988531564622	0.1805715533003637	4.330535427729289
ECFP4 fingerprints	10005596	61(9.15%)	606 (90.85%)	XGBoost	50	21	0	0	46	487	0	0	15	119	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0363636363636363	0.0	0.5	0.6364145658263305	0.0	0.0	0.0863039399624765	0.1619815276140779	3.239872380097707
ECFP4 fingerprints	10004137	87(13.04%)	580 (86.96%)	XGBoost	50	48	35	19	32	447	4	5	16	109	0.7408077637563256	0.5780701754385965	0.6481481481481481	0.4444444444444444	0.5223880597014925	0.2	0.5785123966942148	0.2534432234432234	0.2758620689655173	0.7408077637563255	0.6364035087719297	0.5291346518134843	0.2222830326153887	0.3986223769623842	0.2942833147414025	5.86416464249293
ECFP4 fingerprints	10005906	58(8.7%)	609 (91.3%)	XGBoost	50	22	30	52	15	436	1	21	12	100	0.7800546448087431	0.4516846789574062	0.3658536585365853	0.0454545454545454	0.6666666666666666	0.0769230769230769	0.4724409448818897	0.1845375494071146	0.0571428571428571	0.7800546448087431	0.4691671964399236	0.4316122342049056	-0.0772073906280528	0.2720450281425891	0.165980604398699	4.194150288899739
ECFP4 fingerprints	10000614	119(17.84%)	548 (82.16%)	XGBoost	50	42	56	67	42	368	4	18	17	95	0.7087027914614121	0.5155920775389802	0.4552845528455284	0.1818181818181818	0.5714285714285714	0.1904761904761904	0.5067873303167421	0.278833094213295	0.1860465116279069	0.7087027914614121	0.5107458912768648	0.3837703655659072	0.0306028940609589	0.3389618511569731	0.1917367307635636	3.934536317984263
ECFP4 fingerprints	10021015	125(18.74%)	542 (81.26%)	XGBoost	50	11	46	42	53	392	5	12	21	96	0.6839361355490388	0.5405982905982906	0.5227272727272727	0.2941176470588235	0.4646464646464646	0.1923076923076923	0.4919786096256684	0.2862910434265933	0.2325581395348837	0.6839361355490386	0.5021367521367521	0.3853347481809479	0.096475914443881	0.3423205274646516	0.3500489965766308	4.163227077325185
ECFP4 fingerprints	10000097	91(13.64%)	576 (86.36%)	XGBoost	50	8	39	52	34	408	2	14	16	102	0.7106015485407982	0.4952107279693486	0.4285714285714285	0.125	0.5342465753424658	0.1111111111111111	0.4756097560975609	0.1662342255445703	0.1176470588235294	0.710601548540798	0.5531609195402298	0.3848576032741511	-0.0100731141047859	0.2927526866718313	0.1521745958048621	4.611267924308777
ECFP4 fingerprints	10003997	72(10.79%)	595 (89.21%)	XGBoost	50	19	23	15	26	469	0	8	23	103	0.7191980097824254	0.4639639639639639	0.6052631578947368	0.0	0.4693877551020408	0.0	0.5287356321839081	0.2232308042834358	0.0	0.7191980097824254	0.5244810027418723	0.4922581615134431	-0.1146996650213642	0.3328836027350606	0.186837148088594	4.5748769799868265
ECFP4 fingerprints	10023232	63(9.45%)	604 (90.55%)	XGBoost	50	22	34	83	20	396	1	31	8	94	0.7281759839171114	0.4315555555555556	0.2905982905982906	0.03125	0.6296296296296297	0.1111111111111111	0.3976608187134503	0.2059719887955182	0.048780487804878	0.7281759839171114	0.4382222222222222	0.332678678773111	-0.0803654506892608	0.2204927462380037	0.0844571544308025	2.6423844655354816
ECFP4 fingerprints	10002388	102(15.29%)	565 (84.71%)	XGBoost	50	22	44	37	41	411	6	11	11	106	0.7175288865546219	0.6294620412267471	0.5432098765432098	0.3529411764705882	0.5176470588235295	0.3529411764705882	0.5301204819277108	0.3757398349752427	0.3529411764705882	0.7175288865546219	0.6596279537456008	0.4436941222699687	0.2589240824534942	0.358114071839562	0.2959645803940643	4.531787741184234
ECFP4 fingerprints	10030154	75(11.24%)	592 (88.76%)	XGBoost	50	36	27	19	32	455	2	7	14	111	0.7087713652292069	0.5328389830508475	0.5869565217391305	0.2222222222222222	0.4576271186440678	0.125	0.5142857142857143	0.1878243382079699	0.16	0.708771365229207	0.6244703389830508	0.4665226212193845	0.0850833201912372	0.32864474526498	0.2066588068885867	3.638201840718587
ECFP4 fingerprints	10028347	76(11.39%)	591 (88.61%)	XGBoost	50	31	28	17	34	454	2	12	12	108	0.7077597424833916	0.5214285714285715	0.6222222222222222	0.1428571428571428	0.4516129032258064	0.1428571428571428	0.5233644859813085	0.3648319327731092	0.1428571428571428	0.7077597424833916	0.606547619047619	0.4791610681824021	0.0428571428571428	0.3447934528973081	0.1725521108507137	3.442639382680257
ECFP4 fingerprints	10020823	107(16.04%)	560 (83.96%)	XGBoost	50	35	31	46	52	404	5	15	19	95	0.6356358768406961	0.5359848484848485	0.4025974025974026	0.25	0.3734939759036144	0.2083333333333333	0.3874999999999999	0.2583963273618446	0.2272727272727272	0.6356358768406961	0.5818181818181818	0.2797834970175072	0.0774433647737154	0.2479286801943281	0.2641773019510761	3.8434929132461546
ECFP4 fingerprints	10049571	88(13.19%)	579 (86.81%)	XGBoost	50	8	38	48	35	412	0	17	15	102	0.7081000595592615	0.4285714285714285	0.4418604651162791	0.0	0.5205479452054794	0.0	0.4779874213836478	0.1488095238095238	0.0	0.7081000595592614	0.5098039215686274	0.3889910050345988	-0.1353329904901916	0.2956755984596139	0.1133574774208945	4.844756356875101
ECFP4 fingerprints	10067868	27(4.05%)	640 (95.95%)	XGBoost	50	8	8	8	17	500	0	2	2	130	0.6521259842519685	0.4924242424242424	0.5	0.0	0.32	0.0	0.3902439024390243	0.1349206349206349	0.0	0.6521259842519685	0.6590909090909092	0.3769901424343234	-0.0151515151515151	0.1918949343339587	0.0368117797695262	3.4128153403600057
ECFP4 fingerprints	10062060	166(24.89%)	501 (75.11%)	XGBoost	50	13	65	53	69	346	4	17	28	85	0.6761212733325852	0.4791666666666667	0.5508474576271186	0.1904761904761904	0.4850746268656716	0.125	0.5158730158730158	0.3640541531297834	0.1509433962264151	0.6761212733325852	0.5606617647058824	0.3680574453232752	-0.0488669196829846	0.3966580349120933	0.2593986580336965	4.133161922295888
ECFP4 fingerprints	10037423	118(17.69%)	549 (82.31%)	XGBoost	50	46	41	32	53	407	4	8	20	102	0.6816386371346872	0.546969696969697	0.5616438356164384	0.3333333333333333	0.4361702127659574	0.1666666666666666	0.4910179640718562	0.3162419562419563	0.2222222222222222	0.6816386371346872	0.5462121212121213	0.4027115367747302	0.1261476542284042	0.3444094594971464	0.2676084460275309	4.554503269990286
ECFP4 fingerprints	10005956	139(20.84%)	528 (79.16%)	XGBoost	50	31	69	157	33	274	19	45	18	52	0.6561007233519858	0.5247979938701588	0.3053097345132743	0.296875	0.6764705882352942	0.5135135135135135	0.4207317073170732	0.2614389458935668	0.3762376237623762	0.6561007233519859	0.56993591529674	0.2485136367369618	0.0443909322952267	0.2684467517601937	0.3100474595308696	2.8689037322998048
ECFP4 fingerprints	10001488	71(10.64%)	596 (89.36%)	XGBoost	50	39	35	11	21	466	2	8	13	111	0.8009696016771488	0.5330532212885154	0.7608695652173914	0.2	0.625	0.1333333333333333	0.6862745098039216	0.4756660882976672	0.16	0.8009696016771488	0.657703081232493	0.6572981890485984	0.0793144020608227	0.514943103026348	0.2570886416644931	7.46135178009669
ECFP4 fingerprints	10003285	72(10.79%)	595 (89.21%)	XGBoost	50	48	46	83	17	387	2	34	7	91	0.7767814927389396	0.4751111111111111	0.3565891472868217	0.0555555555555555	0.7301587301587301	0.2222222222222222	0.4791666666666667	0.2068521375173946	0.0888888888888888	0.7767814927389396	0.4551111111111111	0.4172541923071907	-0.0281091347570522	0.2922616133052889	0.0682198799896645	5.282886107762654
ECFP4 fingerprints	10017944	50(7.5%)	617 (92.5%)	XGBoost	50	21	24	47	17	445	0	18	9	107	0.7449186991869918	0.428	0.3380281690140845	0.0	0.5853658536585366	0.0	0.4285714285714285	0.1940659340659341	0.0	0.7449186991869918	0.356	0.3841282585717852	-0.1056996395126466	0.2297650820495203	0.0536306972378206	3.329469112555186
ECFP4 fingerprints	10047924	85(12.74%)	582 (87.26%)	XGBoost	50	31	38	80	30	385	2	27	15	90	0.6933902593295382	0.4434389140271493	0.3220338983050847	0.0689655172413793	0.5588235294117647	0.1176470588235294	0.4086021505376343	0.3071930865034313	0.0869565217391304	0.6933902593295382	0.4102564102564102	0.3107996150557747	-0.0914263702563642	0.2362452978774745	0.108450112323582	3.7325881322224936
ECFP4 fingerprints	10028330	66(9.9%)	601 (90.1%)	XGBoost	50	36	30	16	17	470	6	2	13	113	0.8026880308204185	0.6491990846681922	0.6521739130434783	0.75	0.6382978723404256	0.3157894736842105	0.6451612903225806	0.4724786324786325	0.4444444444444443	0.8026880308204185	0.8210526315789473	0.6112922795729612	0.4393307572808655	0.4481761554255406	0.5676666776880466	3.9475513617197673
ECFP4 fingerprints	10060945	65(9.75%)	602 (90.25%)	XGBoost	50	45	21	18	27	467	2	8	15	109	0.7001932989690722	0.5246354952237305	0.5384615384615384	0.2	0.4375	0.1176470588235294	0.4827586206896552	0.0848484848484848	0.1481481481481481	0.7001932989690721	0.5726495726495726	0.4401241932457194	0.0624019040746197	0.286233583489681	0.2494528157725172	4.946362543106079
ECFP4 fingerprints	10043994	47(7.05%)	620 (92.95%)	XGBoost	50	6	22	52	10	449	3	14	12	105	0.7918537924151696	0.5411764705882353	0.2972972972972973	0.1764705882352941	0.6875	0.2	0.4150943396226415	0.2980408170527739	0.1875	0.7918537924151697	0.5277310924369748	0.4010208804239698	0.0780154886355222	0.2231536179706911	0.1283764699310897	4.319109332561493
ECFP4 fingerprints	10029368	54(8.1%)	613 (91.9%)	XGBoost	50	22	31	115	13	374	1	30	9	94	0.7346858152072876	0.4290322580645161	0.2123287671232876	0.032258064516129	0.7045454545454546	0.1	0.3263157894736841	0.2038095238095238	0.048780487804878	0.7346858152072876	0.4810483870967741	0.289644771980668	-0.0884509223399653	0.1739855116483916	0.0783219858478685	3.620824460188548
ECFP4 fingerprints	10053405	88(13.19%)	579 (86.81%)	XGBoost	50	48	41	40	22	430	5	6	20	103	0.7828436339074637	0.5724770642201835	0.5061728395061729	0.4545454545454545	0.6507936507936508	0.2	0.5694444444444445	0.2119700589265806	0.2777777777777778	0.7828436339074636	0.6814678899082568	0.5087259375479429	0.2057145187340779	0.3706898675281693	0.4325881289740383	5.529170143604278
ECFP4 fingerprints	10009192	122(18.29%)	545 (81.71%)	XGBoost	50	8	63	86	42	342	9	35	8	82	0.6995327102803739	0.6151332327802916	0.4228187919463087	0.2045454545454545	0.6	0.5294117647058824	0.4960629921259842	0.3577654185481752	0.2950819672131147	0.6995327102803739	0.6236802413273002	0.3536729826481083	0.1631926119424923	0.3324905246987421	0.3259983322682723	3.0525678912798564
ECFP4 fingerprints	10018836	50(7.5%)	617 (92.5%)	XGBoost	50	8	22	38	17	456	1	5	10	118	0.7435897435897436	0.525129342202513	0.3666666666666666	0.1666666666666666	0.5641025641025641	0.0909090909090909	0.4444444444444444	0.150749601275917	0.1176470588235294	0.7435897435897436	0.5668883961566888	0.4014011166796795	0.0667082279909682	0.2387325411715655	0.1562660768202021	4.549124113718668
ECFP4 fingerprints	10002383	85(12.74%)	582 (87.26%)	XGBoost	50	24	43	29	29	432	3	10	10	111	0.7671577488551458	0.5740623013350287	0.5972222222222222	0.2307692307692307	0.5972222222222222	0.2307692307692307	0.5972222222222222	0.31436983854114	0.2307692307692307	0.7671577488551459	0.6376350921805467	0.5343154977102916	0.1481246026700572	0.4110833883445671	0.2263141869610299	4.031685821215311
ECFP4 fingerprints	10063550	126(18.89%)	541 (81.11%)	XGBoost	50	47	72	25	28	408	6	7	20	101	0.8311316397228637	0.582977207977208	0.7422680412371134	0.4615384615384615	0.72	0.2307692307692307	0.7309644670050761	0.1825407925407925	0.3076923076923077	0.8311316397228637	0.6641737891737892	0.6701090940251778	0.2217292579908626	0.5869658227113596	0.3508241134444577	3.7544702688852944
ECFP4 fingerprints	10025282	96(14.39%)	571 (85.61%)	XGBoost	50	16	36	15	40	442	1	4	19	110	0.7204307267073592	0.5074561403508772	0.7058823529411765	0.2	0.4736842105263157	0.05	0.5669291338582677	0.1684750914719955	0.08	0.7204307267073592	0.5070175438596491	0.5240327349755323	0.0280370061063999	0.4094122293925964	0.1769661275239774	3.074694311618805
ECFP4 fingerprints	10018286	95(14.24%)	572 (85.76%)	XGBoost	50	6	36	34	42	421	2	8	15	109	0.6934065934065934	0.5246354952237305	0.5142857142857142	0.2	0.4615384615384615	0.1176470588235294	0.4864864864864864	0.1860248750775066	0.1481481481481481	0.6934065934065935	0.6214177978883861	0.4047760008677351	0.0624019040746197	0.3161618868935942	0.2031553457843323	5.269882082939148
ECFP4 fingerprints	10010071	122(18.29%)	545 (81.71%)	XGBoost	50	37	54	20	43	416	8	9	17	100	0.7554147356474038	0.6187155963302753	0.7297297297297297	0.4705882352941176	0.5567010309278351	0.32	0.6315789473684211	0.4232682653143011	0.380952380952381	0.7554147356474038	0.6827522935779817	0.5700104979620932	0.2779096554583367	0.4869167149780677	0.4379602845536325	3.67703818877538
ECFP4 fingerprints	10011831	45(6.75%)	622 (93.25%)	XGBoost	50	0	2	0	29	502	0	0	14	120	0.532258064516129	0.5	1.0	0.0	0.064516129032258	0.0	0.1212121212121212	0.0	0.0	0.532258064516129	0.6023809523809524	0.2469668991834059	0.0	0.1189251346607759	0.1649126357859621	3.33683070341746
ECFP4 fingerprints	10028735	51(7.65%)	616 (92.35%)	XGBoost	50	7	9	7	31	486	1	1	10	122	0.6054006085192698	0.5413895048041389	0.5625	0.5	0.225	0.0909090909090909	0.3214285714285714	0.2252136752136752	0.1538461538461538	0.6054006085192698	0.402069475240207	0.3254777509259658	0.1873989533391335	0.1847238508442776	0.1099073575558821	4.692823549111684
ECFP4 fingerprints	10050637	49(7.35%)	618 (92.65%)	XGBoost	50	8	18	12	20	483	1	2	10	121	0.7247208931419458	0.5373244641537325	0.6	0.3333333333333333	0.4736842105263157	0.0909090909090909	0.5294117647058824	0.0838095238095238	0.1428571428571428	0.7247208931419457	0.5011086474501107	0.5017914138479574	0.1385084280057932	0.3217339784733879	0.2201174613848247	3.743152169386546
ECFP4 fingerprints	10043089	49(7.35%)	618 (92.65%)	XGBoost	50	48	24	8	17	484	2	5	6	121	0.7845528455284553	0.6051587301587302	0.75	0.2857142857142857	0.5853658536585366	0.25	0.6575342465753423	0.1811965811965812	0.2666666666666666	0.7845528455284553	0.7073412698412698	0.6383715976920132	0.2239518809478763	0.4709193245778611	0.3391717325227963	4.9834486722946165
ECFP4 fingerprints	10040984	81(12.14%)	586 (87.86%)	XGBoost	50	45	35	80	29	389	4	17	13	100	0.6881496535181237	0.5449974861739567	0.3043478260869565	0.1904761904761904	0.546875	0.2352941176470588	0.3910614525139664	0.2653448903448904	0.2105263157894736	0.6881496535181237	0.5625942684766214	0.2973533022044645	0.0823923272908839	0.2208492230198221	0.2139991165750516	2.942252822717031
ECFP4 fingerprints	10066758	72(10.79%)	595 (89.21%)	XGBoost	50	13	29	24	32	448	0	9	11	114	0.7122811892192276	0.4634146341463415	0.5471698113207547	0.0	0.4754098360655737	0.0	0.5087719298245614	0.1355311355311355	0.0	0.7122811892192276	0.5890613451589062	0.4516675303157142	-0.0802435317657685	0.3201674337521885	0.1233379520024946	5.548537429173788
ECFP4 fingerprints	10035664	101(15.14%)	566 (84.86%)	XGBoost	50	8	46	47	33	407	4	25	18	87	0.7393771259688842	0.479301948051948	0.4946236559139785	0.1379310344827586	0.5822784810126582	0.1818181818181818	0.5348837209302325	0.2319570907806201	0.1568627450980392	0.7393771259688842	0.5294237012987013	0.4482149143909518	-0.0372379849034886	0.3499224070985566	0.1685456768903433	2.949941368897756
ECFP4 fingerprints	10034972	80(11.99%)	587 (88.01%)	XGBoost	50	34	25	14	44	450	3	4	8	119	0.6660732133933034	0.6201034737620104	0.6410256410256411	0.4285714285714285	0.3623188405797101	0.2727272727272727	0.4629629629629629	0.3188462064251537	0.3333333333333332	0.6660732133933034	0.7997043606799704	0.4281710918323032	0.2963354321582656	0.3148072617849924	0.3218438496980018	3.040795210997264
