data	safety_endpoint	roc_auc_score	pr_auc_score
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020575	0.5884444444444443	0.14512026259034244
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020100	0.6884933248569612	0.2590792220162864
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10024119	0.6857142857142857	0.2781544961504775
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10011985	0.614102564102564	0.29661122133998663
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021789	0.5116120218579235	0.11554325510939194
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019847	0.5981800766283525	0.19412028875289092
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10016667	0.6827551533433887	0.24541235105835893
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019663	0.625	0.17644926980028613
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10039109	0.5363247863247864	0.26802472041709746
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048049	0.5922131147540983	0.13221424107013235
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021118	0.6742424242424243	0.08362369337979093
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029148	0.6691951116729877	0.3358587372469356
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10039906	0.7219279661016949	0.23438926017706183
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10067352	0.6588327457892675	0.2785971761723455
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028762	0.6481247366203118	0.2284896433293081
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042316	0.6164079822616408	0.14914855523204215
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002847	0.5638443935926772	0.16080789947440302
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020679	0.5057817998994469	0.12675731845571778
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10017826	0.7159376571141277	0.345103475559872
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10051612	0.611441647597254	0.17743812970545436
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10015296	0.5725806451612904	0.09980432489012583
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042264	0.6959745762711864	0.34059780536361683
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10024642	0.46825396825396826	0.06566476445422567
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028813	0.47519841269841273	0.05929877732191002
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006473	0.6577868852459017	0.1434112102602391
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002967	0.7635854341736694	0.28171364973615637
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018290	0.48538961038961037	0.16368290196044832
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10038661	0.6434782608695653	0.29777379018065275
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022116	0.5936609686609686	0.27403900042361096
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061835	0.6657088122605364	0.27596773027404237
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061366	0.48672566371681414	0.1819744686397124
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062190	0.5763239875389409	0.3089062863872096
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042033	0.6337121212121212	0.3226539619297597
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10044055	0.6356979405034324	0.23784037560020954
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10049187	0.6273809523809524	0.25880186049329607
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019075	0.6878182530356444	0.3377945580834692
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10015090	0.5815523059617548	0.08041149944951788
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022611	0.5852187028657616	0.22879122021649506
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10016256	0.6319135410044501	0.1829037252205805
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040742	0.43661327231121283	0.14798725611913846
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10029354	0.6133879781420766	0.18933238921850354
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10018092	0.6517857142857143	0.1725918598880887
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028164	0.3551487414187643	0.1089958262653202
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048960	0.7159961685823755	0.46026928621144464
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10052224	0.6010928961748635	0.12329821046767059
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005619	0.6193643754619365	0.2637397049683726
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10006093	0.5170670037926675	0.17744401502567098
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062501	0.6503432494279177	0.3148838560380729
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10034464	0.7596491228070175	0.5031422929167888
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10014391	0.6805555555555556	0.2728200005490903
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10054236	0.565410199556541	0.1136103095441765
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019022	0.5875352333228937	0.38083820866038076
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10026882	0.6147435897435897	0.34299363528344107
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10037876	0.921875	0.4217395587076438
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003986	0.6074561403508771	0.22858531803214222
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10002942	0.7126509853782581	0.32797016647346844
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10019948	0.6851190476190476	0.18226657401486418
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10013036	0.6224089635854342	0.2264599451957207
